ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,rooms,district,area_total,area_living,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name,area_kitchen
1080004029,2026-08-06T07:46:19Z,"1-к квартира  Мазурова ул., 18","Сдается уютная однокомнатная квартира с отличной планировкой в аренду в Минске, расположенная по адресу: ул. Мазурова во Фрунзенском районе. Идеальный",400.0,1170.56,True,https://re.kufar.by/vi/1080004029,,125,51.8,17.8,3,,4.0,9.0,,2003.0,30,27.4263,53.8964,"Мазурова ул, 18, Минск",ООО ТВОЯ СТОЛИЦА,12.0
1078831559,2026-08-06T07:44:21Z,Долгосрочная аренда квартиры Минск,"Впервые предлагается в аренду уютная и ухоженная 2-комнатная квартира, в которой ранее проживал только собственник. Квартира подготовлена к комфортном",750.0,2194.8,False,https://re.kufar.by/vi/1078831559,4.0,80,61.1,58.2,3,5,2.0,9.0,1,2004.0,30,27.477327,53.90683,"Притыцкого ул, 41, Минск",Ольга,13.0
1080001441,2026-08-06T07:41:25Z,"Сдается 1-комнатная квартира, Минск, Мичурина 11а","Сдается 1-комнатная квартира на длительный срок, 30 кв. м. по адресу г. Минск, ул. Мичурина 11А. Просторная непроходная комната, кухня отделена, совме",350.0,1024.24,False,https://re.kufar.by/vi/1080001441,2.0,,30.0,,2,1,3.0,4.0,3,,26,27.661355,53.864028,"Мичурина ул, 11А, Минск",Александр,5.8
1080003549,2026-08-06T07:39:22Z,Сдам квартиру в Английском квартале,"Сдам 1 комнатную просторную квартиру на длительное проживание квартиру в Английском квартале, с мебелью, бытовой техникой, закрытая территория, парков",550.0,1609.52,True,https://re.kufar.by/vi/1080003549,2.0,,45.0,35.0,1,5,3.0,3.0,3,2021.0,29,27.460798,53.852329,"Космонавтов ул, 22, Минск",ИП Дашко ЮР,10.0
1080001936,2026-08-06T07:29:33Z,Сдаю 2-х комнатную квартиру,"Квартира после ремонта, новые: пол Торкрет, окраска стен акрилом, потолок в кухне, газовая плита, пластиковые окна. Удобное расположение, пешком 10 ми",450.0,1316.88,False,https://re.kufar.by/vi/1080001936,4.0,120,49.0,28.0,3,1,6.0,9.0,1,1980.0,23,27.575539,53.925672,"Кульман ул, 28, Минск",Сергей,7.0
1077566654,2026-08-06T07:29:26Z,Однокомнатная квартира,"Сдаётся 1 комнатная квартира (Евродвушка) в престижном доме с отличным ремонтом в Фрунзенском районе столицы. Квартира находится на 6 этаже, укомплект",512.58,1500.0,False,https://re.kufar.by/vi/1077566654,2.0,290,54.0,19.0,3,5,6.0,16.0,10,2009.0,30,27.507025,53.901812,"Болеслава Берута ул, 11А, Минск",Игорь,12.0
1079277109,2026-08-06T07:21:51Z,Аренда квартиры,"Сдается стильная, абсолютно новая квартира с дизайнерским ремонтом в доме клубного типа, есть абсолютно все для комфортной жизни, вся техника и мебель",850.0,2487.44,False,https://re.kufar.by/vi/1079277109,2.0,220,45.0,45.0,1,10,1.0,2.0,4,2025.0,23,27.584846,53.943901,"переулок Максима Богдановича, 28, Минск",Борис,
1079999946,2026-08-06T07:19:51Z,"Сдается 3-х комнатная квартира, ул.Восточная 22/1","Квартира для интеллигентных людей, семейной пары или семьи из 3-х человек. Аккуратных и спокойных.

Без животных и вредных привычек.

Аренда возможна",450.0,1316.88,False,https://re.kufar.by/vi/1079999946,3.0,,62.1,44.0,3,1,3.0,5.0,3,1972.0,23,27.591466,53.928312,"Восточная ул, 22к1, Минск",Лариса Петровна,6.5
1079999829,2026-08-06T07:18:15Z,Отличная 3-х комнатная квартира в центре Минска,"Сдается отличная трехкомнатная квартира по адресу пр-т Дзержинского 11 общ.пл. 88 кв.м. в шаговой доступности метро ""Грушевка"". Квартира просторная и",1025.15,3000.0,False,https://re.kufar.by/vi/1079999829,6.0,55,88.0,68.0,3,10,14.0,24.0,2,2014.0,29,27.520796,53.888223,"Дзержинского пр, 11, Минск",Ольга,20.0
1079999715,2026-08-06T07:16:17Z,Аренда квартиры,"Сдается на срок от 1 года.
 Однокомнатная квартира в сталинке.
Очень уютная, теплая, дизайнерский ремонт.
Новая техника. Много мест хранения.окна во д",500.0,1463.2,False,https://re.kufar.by/vi/1079999715,,,32.0,20.0,2,10,2.0,3.0,3,1958.0,29,27.52188179018799,53.89349690879699,"Коржа ул, 7, Минск",Alina,5.0
1079078951,2026-08-06T07:01:26Z,"1 комнатная квартира, 39 м.кв., этаж 8 из 9","Сдаётся на длительный срок комфортная 1-комнатная квартира, расположенная во Фрунзенском районе на 8-ом этаже с капитальным ремонтом, необходимой быто",450.0,1316.88,False,https://re.kufar.by/vi/1079078951,3.0,,39.0,,3,,8.0,9.0,1,,30,27.451213,53.911731,"Лещинского ул, Минск",Юлия,
1077752939,2026-08-06T06:59:55Z,Сдаётся студия,"Сдаётся на длительный срок
Чистая и ухоженная квартира 
Аккуратным и чистоплотным жильцам 
Тихая и комфортная КВ 
С очень хорошим видом на центр город",502.32,1470.0,False,https://re.kufar.by/vi/1077752939,2.0,170,27.0,20.0,1,5,25.0,25.0,2,,28,27.532654,53.871706,"здание Фламенко, квартал Мировых Танцев, экспериментальный многофункциональный комплекс Минск-Мир, Минск",Виктория,
1079998622,2026-08-06T06:57:59Z,Сдам в аренду 1к. кв-ру возле ж/д вокзала,"Сдам в аренду 1к. кв-ру возле ж/д вокзала

Сдаётся на длительный срок 1-а комнатная квартира, по адресу: г. Минск, ул.Бакинская, м.Ковальская слобода,",341.72,1000.0,False,https://re.kufar.by/vi/1079998622,2.0,,33.2,17.2,3,1,9.0,9.0,1,1990.0,28,27.558444,53.881271,"Бакинская ул, 8, Минск",Сергей,7.1
1079998193,2026-08-06T06:57:12Z,Сдается квартира на длительный срок,"Сдается квартира на длительный срок. Недалеко от ст.м. Михалово , до ст.м. Интситут Культуры любым троллейбусом 10 минут. Без животных. Договор на аре",350.0,1024.24,False,https://re.kufar.by/vi/1079998193,2.0,55,42.0,26.4,1,1,4.0,5.0,4,,29,27.507079,53.877327,"Дубравинский переулок, 3к2, Минск",Светлана,5.8
1079590619,2026-08-06T06:56:30Z,100м от метро Грушевка Сдаётся 3х комн. квартира,"100 м от станции метро ""грушевка"" сдаётся в долгосрочную аренду от собственника трёхкомнатная квартира. Уютная, светлая, престижный район. рядом есть",760.0,2224.06,False,https://re.kufar.by/vi/1079590619,6.0,55,72.0,42.0,3,5,3.0,14.0,2,2013.0,29,27.514578751437334,53.88559447777349,"Щорса ул, 11, Минск",Владимир,11.0
1079132757,2026-08-06T06:56:27Z,"Сдается 1 комнатная квартира, Сухарево","Сдаётся однокомнатная квартира в Сухарево-5 (ул. Скрипникова,11). 
Хороший ремонт. На встроенной кухне имеется холодильник, варочная электрическая пан",500.0,1463.2,False,https://re.kufar.by/vi/1079132757,2.0,,47.1,19.2,1,5,6.0,16.0,4,2007.0,30,27.420364,53.890755,"Скрипникова ул, 11, Минск",Илона,9.6
1068646728,2026-08-06T06:45:43Z,Аренда квартиры,"СВОБОДНА С 26-27.08.2026
На длительный срок. Предоплата за 1 месяц + залог в размере месячной аренды (если все хорошо, возвращается при выселении-проп",461.32,1350.0,False,https://re.kufar.by/vi/1068646728,2.0,,34.0,28.0,3,1,3.0,5.0,10,2020.0,29,27.508381,53.889115,"Розы Люксембург ул, 151, Минск",Юрий,
1079997622,2026-08-06T06:45:18Z,Квартира на длительный срок,"Сдаётся квартира на длительный срок.
Рядом метро Партизанская, торговки, магазины все рядышком. Рядом с домом сады, школы, магазины.
Все вопросы по но",341.72,1000.0,False,https://re.kufar.by/vi/1079997622,1.0,,45.0,20.0,2,1,1.0,5.0,1,,26,27.613844,53.874769,"Народная ул, 10, Минск",Андрей,7.0
1079997421,2026-08-06T06:43:06Z,Сдам квартиру,"Сдается однокомнатная квартира по ул. Слободская, 75  на длительный срок (не менее года) молодой паре, девушке без вредных привычек и животных. В квар",370.0,1082.77,False,https://re.kufar.by/vi/1079997421,,150,32.0,,,,,,,,29,27.446101,53.847081,"Слободская ул, Минск",Илона,
1078733342,2026-08-06T06:36:42Z,СДАЁТСЯ 2-Х КОМНАТНАЯ КВАРТИРА,"Сдаётся 2-х комнатная квартира на длительный срок от собственника,с 5 августа .
ТОЛЬКО ГРАЖДАНАМ РБ,  ДВУМ ДЕВУШКАМ СТАРШЕ 21 ГОДА!!! Рядом магазины,а",450.0,1316.88,False,https://re.kufar.by/vi/1078733342,2.0,135,51.0,,1,1,3.0,9.0,1,,28,27.518092,53.850242,"Брестская ул, 78, Минск",Елена,
1079996810,2026-08-06T06:35:47Z,Сдается уютная квартира со свежим ремонтом для ценящих комфорт и тишину,"Квартира сдается на длительный срок напрямую от собственника. Вариант идеально подходит для порядочной, чистоплотной семьи или одного человека, которы",430.0,1258.35,False,https://re.kufar.by/vi/1079996810,,,46.26,28.35,1,1,2.0,3.0,3,,26,27.6282845615631,53.872283452355425,"Народная ул, 48/16, Минск",Мила,6.11
1079951694,2026-08-06T06:33:19Z,Сдам квартиру на длинный срок,"Сдам квартиру на долгий срок,  парам или одному , без животных и детей,  не иностранцем.",350.0,1024.24,False,https://re.kufar.by/vi/1079951694,,180,40.0,38.0,1,1,3.0,5.0,2,2009.0,22,27.548509,53.958399,"Выготского ул, 43, Минск",Елена,
1079995994,2026-08-06T06:26:38Z,"Снять 2-комнатную квартиру, г. Минск, ул. Осипенко, 8","Сдается двухкомнатная квартира в Центральном районе по адресу: ул. Осипенко 8 Квартира расположена на 1 этаже 5 этажного дома, укомплектована необходи",478.4,1400.0,True,https://re.kufar.by/vi/1079995994,,,39.9,23.1,3,,1.0,5.0,,,22,27.54868,53.925354,"Осипенко ул, 8, Минск","ООО ""Резалт Недвижимость""",6.3
1079524723,2026-08-06T06:18:54Z,"Квартира длительно, центр",Сдается квартира на длительный срок. Есть все необходимое. Без животных.,550.0,1609.52,False,https://re.kufar.by/vi/1079524723,4.0,,68.0,45.0,3,,3.0,,10,2001.0,22,27.543964,53.927803,"Старовиленский тракт, 67, Минск",Никита,12.0
1079326213,2026-08-06T06:18:09Z,аренда квартиры,Сдается с 9го августа (первые просмотры планируются 7-8 августа) на длительный срок(не менее 1года) невероятно уютная большая светлая 2х-комнатная ква,550.0,1609.52,False,https://re.kufar.by/vi/1079326213,,,68.0,60.0,3,,9.0,19.0,,2014.0,24,27.697216,53.927072,"Франциска Скорины ул, 39А, Минск",Ольга,13.0
1059440907,2026-08-06T06:12:13Z,"4-к квартира  Казарменный пер., 4","Сдается в аренду просторная 4-комнатная квартира в Минске, расположенная по адресу: ул. Казарменный пер., в Ленинском районе. Это идеальное предложени",950.0,2780.08,True,https://re.kufar.by/vi/1059440907,,,109.0,66.3,3,,4.0,9.0,,2002.0,27,27.5727,53.8951,"Казарменный переулок, 4, Минск",ООО ТВОЯ СТОЛИЦА,11.7
1070256490,2026-08-06T06:12:02Z,"2-к квартира  Сторожовская ул., 6","Сдается превосходная 2-комнатная квартира в аренду в Минске, расположенная в самом сердце престижного Центрального района, по адресу: ул. Сторожевская",1200.0,3511.68,True,https://re.kufar.by/vi/1070256490,,260,56.0,,3,,12.0,12.0,,2011.0,22,27.5568,53.9103,"Сторожовская ул, 6, Минск",ООО ТВОЯ СТОЛИЦА,
1076924038,2026-08-06T06:11:53Z,"3-к квартира  Горецкого ул., 61","Сдается просторная 3-комнатная квартира в аренду в Минске, расположенная по адресу: ул. Горецкого. Это идеальное предложение для долгосрочной аренды в",600.0,1755.84,True,https://re.kufar.by/vi/1076924038,,265,77.5,45.0,3,,6.0,9.0,,2000.0,30,27.4402,53.8897,"Максима Горецкого ул, 61, Минск",ООО ТВОЯ СТОЛИЦА,12.7
1078268863,2026-08-06T06:11:26Z,"4-к квартира  Ратомская ул., 34","Новая четырехкомнатная квартира в ЖК «Олимпик парк». Дизайнерский ремонт. Современный малоквартирный дом 2018 года постройки, установлено видеонаблюде",2500.0,7316.0,True,https://re.kufar.by/vi/1078268863,,140,128.0,,3,,5.0,7.0,,2019.0,22,27.4519,53.9394,"Ратомская ул, 34, Минск",ООО ТВОЯ СТОЛИЦА,
1079118623,2026-08-06T06:11:09Z,"4-к квартира  Маяковского ул., 99",Просторная четырехкомнатная квартира в Ленинском районе. Общая площадь 100 м.кв. Год постройки дома 2013. Для комфортного проживания квартира полность,900.0,2633.76,True,https://re.kufar.by/vi/1079118623,,,100.0,63.0,3,,3.0,16.0,,2013.0,27,27.5721,53.8643,"Маяковского ул, 99, Минск",ООО ТВОЯ СТОЛИЦА,
1059915801,2026-08-06T06:10:54Z,"3-к квартира  Победителей просп., 27","Трёхкомнатная квартира в ЖК «Славянский квартал. Площадь 82 кв.м. Дом 2012 года постройки. Ремонт выполнен по дизайнерскому проекту, вся мебель импорт",1400.0,4096.96,True,https://re.kufar.by/vi/1059915801,,90,82.0,,3,,13.0,25.0,,2012.0,22,27.5398,53.9117,"Победителей пр, 27, Минск",ООО ТВОЯ СТОЛИЦА,
1077269159,2026-08-06T06:10:39Z,"3-к квартира  Победителей просп., 27","Трёхкомнатная квартира в ЖК «Славянский квартал. Площадь 82 кв.м. Дом 2012 года постройки. Ремонт выполнен по дизайнерскому проекту, вся мебель импорт",1300.0,3804.32,True,https://re.kufar.by/vi/1077269159,,90,82.0,55.0,1,,13.0,25.0,,2012.0,22,27.5398,53.9121,"Победителей пр, 27, Минск",ООО ТВОЯ СТОЛИЦА,
1074277848,2026-08-06T06:10:26Z,"2-к квартира  Немига ул., 10","Вы современны, с хорошим вкусом, и с желанием провести частичку своей жизни в атмосфере стильного комфорта и домашнего уюта? Вам импонирует жить в сер",1470.0,4301.81,True,https://re.kufar.by/vi/1074277848,,,54.0,28.7,2,,6.0,10.0,,1986.0,22,27.5495,53.9036,"Немига ул, 10, Минск",ООО ТВОЯ СТОЛИЦА,6.9
1051518372,2026-08-06T06:10:10Z,"3-к квартира  Немига ул., 14","Трехкомнатная квартира в самом центре г. Минска. Общая площадь 64,6 м. кв.  Для комфортного проживания квартира укомплектована всей необходимой мебель",900.0,2633.76,True,https://re.kufar.by/vi/1051518372,,,64.6,42.2,3,,4.0,12.0,,1991.0,22,27.5487,53.9029,"Немига ул, 12, Минск",ООО ТВОЯ СТОЛИЦА,
1072960101,2026-08-06T06:09:56Z,"3-к квартира  Беды ул., 26","Ищете комфортную 3-комнатную квартиру в аренду в Минске? Предлагается просторная квартира в престижном Советском районе, на улице Беды. Идеальный вари",900.0,2633.76,True,https://re.kufar.by/vi/1072960101,,220,89.3,68.5,3,,9.0,10.0,,2015.0,23,27.5928,53.9354,"Леонида Беды ул, 26, Минск",ООО ТВОЯ СТОЛИЦА,
1075517573,2026-08-06T06:09:45Z,"2-к квартира  Мястровская ул., 8","Стильная двухкомнатная квартира, притягивающая своим комфортом и уютом. Новый дом (2013 год постройки), видеонаблюдение, рядом детская площадка. Площа",800.0,2341.12,True,https://re.kufar.by/vi/1075517573,,,61.4,38.1,3,,15.0,22.0,,2013.0,22,27.4758,53.9342,"Мястровская ул, 8, Минск",ООО ТВОЯ СТОЛИЦА,9.3
1071446696,2026-08-06T06:09:21Z,"2-к квартира  Победителей просп., 27","Просторная 2-комнатная квартира в Минске с машиноместом в паркинге!!! 

 Ищете идеальную квартиру для аренды в Минске? Представляем вашему вниманию 2-",1400.0,4096.96,True,https://re.kufar.by/vi/1071446696,,90,70.0,,3,,6.0,24.0,,2012.0,22,27.5398,53.9117,"Победителей пр, 27, Минск",ООО ТВОЯ СТОЛИЦА,
1076413873,2026-08-06T06:09:11Z,"4-к квартира  Лукьяновича ул., 2/В","Стильная четырехкомнатная квартира в скандинавском стиле. Площадь 121 кв.м. Квартира находится в новом доме, расположенном в в одном из самых экологич",1500.0,4389.6,True,https://re.kufar.by/vi/1076413873,,,121.0,88.0,2,,7.0,17.0,,2014.0,23,27.6063,53.9432,"Лукьяновича ул, 2, Минск",ООО ТВОЯ СТОЛИЦА,
1077550399,2026-08-06T06:09:00Z,"4-к квартира  Червякова ул., 55","Сдается просторная 4-комнатная квартира в престижном Центральном районе Минска, на улице Червякова. Этот идеальный вариант для комфортного проживания",1350.0,3950.64,True,https://re.kufar.by/vi/1077550399,,,147.4,102.7,1,,7.0,9.0,,2010.0,22,27.5482,53.9293,"Червякова ул, 55, Минск",ООО ТВОЯ СТОЛИЦА,43.7
1057607923,2026-08-06T06:08:47Z,"4-к квартира  Сурганова ул., 27","Сдается просторная 4-комнатная квартира в Минске! Идеальный вариант для комфортного проживания в Советском районе.  

  Расположенная по адресу ул. Су",2000.0,5852.8,True,https://re.kufar.by/vi/1057607923,,,239.0,147.0,3,,3.0,7.0,,2004.0,23,27.5952,53.9249,"Сурганова ул, 27, Минск",ООО ТВОЯ СТОЛИЦА,
1027966967,2026-08-06T06:08:25Z,"4-к квартира  Чехова ул., 3","Элитная 4-х комнатная квартира 188 кв.м с машиноместом в подземном гараже, кухней 30 кв.м, гостиной 40 кв.м двумя санузлами, роялем Steinway и большой",1990.0,5823.54,True,https://re.kufar.by/vi/1027966967,,,231.6,136.7,3,,4.0,8.0,,2002.0,22,27.5295,53.9144,"Чехова ул, 3, Минск",ООО ТВОЯ СТОЛИЦА,28.9
1078753594,2026-08-06T06:08:09Z,"2-к квартира  Партизанский просп., 76","Двухкомнатная квартира в Заводском районе. В квартире есть вся необходимая мебель и бытовая техника: холодильник, стиральная машина автомат, печь СВЧ,",485.0,1419.3,True,https://re.kufar.by/vi/1078753594,,,42.18,29.83,1,,5.0,5.0,,1962.0,26,27.6417,53.8706,"Партизанский пр, 76, Минск",ООО ТВОЯ СТОЛИЦА,
1074277850,2026-08-06T06:07:53Z,"2-к квартира  Сторожевская ул., 6","Роскошная квартира в центре Минска в престижном доме: контроль доступа, 24-часовая охрана и услуги консьержа, камеры видеонаблюдения, 3 смарт-лифта, c",1800.0,5267.52,True,https://re.kufar.by/vi/1074277850,,260,66.0,50.0,3,,14.0,16.0,,2012.0,22,27.5568,53.9103,"Сторожовская ул, 6, Минск",ООО ТВОЯ СТОЛИЦА,
1057850496,2026-08-06T06:07:32Z,"2-к квартира  Богдановича ул., 136","Новая стильная двухкомнатная квартира в современном доме. Дом 2010 г. постройки. 

 Общая площадь 65,8 кв.м. Просторная кухня 13,1 м.кв. 

 Ремонт вып",750.0,2194.8,True,https://re.kufar.by/vi/1057850496,,220,65.0,34.0,3,,8.0,26.0,,2010.0,23,27.5849,53.9384,"Максима Богдановича ул, 136, Минск",ООО ТВОЯ СТОЛИЦА,13.0
1079310578,2026-08-06T06:06:51Z,"3-к квартира  Рокоссовского просп., 80","Сдается просторная и уютная 3-комнатная квартира в Ленинском районе — отличный вариант для комфортной жизни вашей семьи!  

 Квартира расположена на 3",650.0,1902.16,True,https://re.kufar.by/vi/1079310578,,230,95.0,56.0,3,,3.0,8.0,,2007.0,27,27.6039,53.8631,"Рокоссовского пр, 80, Минск",ООО ТВОЯ СТОЛИЦА,13.0
1043363278,2026-08-06T06:06:39Z,"4-к квартира  Привабная ул., 5","Четырехкомнатная квартира общей площадью 176 м2 на улице Привабная, 5 в малоквартирном доме. 

 Месторасположение отличается удачным сочетанием зелено",2600.0,7608.64,True,https://re.kufar.by/vi/1043363278,,165,176.0,,2,,2.0,4.0,,2005.0,30,27.4699,53.9003,"Привабная ул, 5, Минск",ООО ТВОЯ СТОЛИЦА,
1065272668,2026-08-06T06:06:28Z,"2-к квартира  Сторожовская ул., 6","Двухкомнатная квартира в самом сердце исторического центра Минска. Знаменитый дом «У Троицкого»- повышенный уровень безопасности, огороженная территор",1800.0,5267.52,True,https://re.kufar.by/vi/1065272668,,260,71.0,62.5,3,,5.0,6.0,,2011.0,22,27.557,53.9102,"Сторожовская ул, 6, Минск",ООО ТВОЯ СТОЛИЦА,
1042683945,2026-08-06T06:06:13Z,"2-к квартира  Туровского ул., 24","Ищете уютное жильё в престижном районе? Предлагаем современную 2-комнатную квартиру по адресу: ул. Туровского, всего в нескольких минутах ходьбы от ме",700.0,2048.48,True,https://re.kufar.by/vi/1042683945,,325,45.4,39.6,3,,5.0,10.0,,2018.0,24,27.6533,53.931,"Кирилла Туровского ул, 24, Минск",ООО ТВОЯ СТОЛИЦА,
1026397415,2026-08-06T06:06:00Z,"4-к квартира  Чехова ул., 3","Ищете стильную и уютную квартиру в престижном районе? Эта элегантная четырехкомнатная квартира, расположенная в Центральном районе, создана для тех, к",2450.0,7169.68,True,https://re.kufar.by/vi/1026397415,,,147.0,,1,,2.0,7.0,,2002.0,22,27.5295,53.9144,"Чехова ул, 3, Минск",ООО ТВОЯ СТОЛИЦА,
1078501134,2026-08-06T06:05:49Z,"2-к квартира  Чичурина ул., 14","Сдается уютная 2-комнатная квартира в аренду в Минске, расположенная по адресу: ул. Чичурина. Идеальный вариант для комфортного проживания в современн",750.0,2194.8,True,https://re.kufar.by/vi/1078501134,,65,57.0,,3,,10.0,10.0,,2012.0,30,27.4624,53.9197,"Чичурина ул, 14, Минск",ООО ТВОЯ СТОЛИЦА,
1052892510,2026-08-06T06:05:18Z,"2-к квартира  Пионерская ул., 7","Сдается уютная 2-комнатная квартира в Минске, расположенная по адресу: ул. Пионерская, в престижном Центральном районе. Идеальный вариант для комфортн",1000.0,2926.4,True,https://re.kufar.by/vi/1052892510,,195,70.0,,3,,3.0,5.0,,2008.0,22,27.4878,53.9389,"Пионерская ул, 7, Минск",ООО ТВОЯ СТОЛИЦА,
1060027996,2026-08-06T06:05:06Z,"4-к квартира  Независимости просп., 85/б","Сдается просторная 4-комнатная квартира в Минске! Идеальное предложение для тех, кто ищет комфорт и престиж в одном из лучших районов столицы. Квартир",3000.0,8779.2,True,https://re.kufar.by/vi/1060027996,,,158.0,100.0,3,,3.0,8.0,,2008.0,24,27.6027,53.9233,"Независимости пр, 85, Минск",ООО ТВОЯ СТОЛИЦА,
1076245640,2026-08-06T06:04:55Z,"2-к квартира  Коммунистическая ул., 10","Сдается уникальная видовая 2-комнатная квартира в Центральном районе Минска, на улице Коммунистической. Идеальный вариант для тех, кто ищет комфортное",1186.0,3470.71,True,https://re.kufar.by/vi/1076245640,,,65.0,58.0,3,,6.0,6.0,,1954.0,22,27.569,53.9101,"Коммунистическая ул, 10, Минск",ООО ТВОЯ СТОЛИЦА,
1070353894,2026-08-06T06:03:48Z,"3-к квартира  Независимости просп., 22","Сдается просторная 3-комнатная квартира в самом сердце Минска! 

  

 Ищете идеальное жилье в центре столицы? Предлагаем в аренду шикарную 3-комнатную",1900.0,5560.16,True,https://re.kufar.by/vi/1070353894,,,100.0,84.0,3,,4.0,5.0,,1954.0,27,27.5604,53.9009,"Независимости пр, 22, Минск",ООО ТВОЯ СТОЛИЦА,7.33
1072863148,2026-08-06T06:02:59Z,"2-к квартира  Козлова ул., 9","Сдается в аренду просторная 2-комнатная квартира-сталинка в Минске, расположенная по адресу: ул. Козлова. Первое заселение! Идеальное предложение для",1500.0,4389.6,True,https://re.kufar.by/vi/1072863148,,,56.0,,1,,2.0,5.0,,1958.0,23,27.5834,53.9085,"Козлова ул, 9, Минск",ООО ТВОЯ СТОЛИЦА,
1076413874,2026-08-06T06:02:11Z,"4-к квартира  Червякова ул., 50","Сдается современная просторная 4-комнатная квартира в аренду в престижном Центральном районе Минска, по улице Червякова. Этот современный одноподъездн",2000.0,5852.8,True,https://re.kufar.by/vi/1076413874,,,131.0,83.5,3,,3.0,4.0,,2013.0,22,27.5493,53.9286,"Червякова ул, 50, Минск",ООО ТВОЯ СТОЛИЦА,11.2
